,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
457,601952,苏垦农发,5.43,14.49,20.7379,267.0473,0.2519,1842.8765,1.7385
458,002840,华统股份,5.43,2.74,5.648,60.4119,0.3381,2204.6772,12.3396
459,603358,华达科技,5.42,9.41,21.5434,132.3632,0.8272,1406.0425,8.7877
460,603738,泰晶科技,5.41,14.4,33.9896,30.0165,0.2647,208.3383,1.8379
461,300563,神宇股份,5.39,15.47,26.6784,23.2885,0.2911,150.4799,1.8809
462,603980,吉华集团,5.39,16.48,30.9799,203.7541,0.4075,1235.9162,2.4718
463,600673,东阳光科,5.38,6.03,18.3351,208.408,0.0844,3455.675,1.3996
464,002282,博深工具,5.38,18.03,35.642,45.2056,0.1336,250.6235,0.7412
465,603663,三祥新材,5.38,12.19,26.3246,23.5381,0.1754,193.0371,1.4389
466,603811,诚意药业,5.37,20.21,49.3437,30.0481,0.3526,148.6072,1.7442
467,600363,联创光电,5.35,8.5,15.75,115.5946,0.2606,1359.5764,3.0657
468,603839,安正时尚,5.35,20.7,69.3839,129.4145,0.454,625.0762,2.1929
469,603806,福斯特,5.32,11.07,21.4173,249.7167,0.6211,2255.7439,5.6113
470,002056,横店东磁,5.31,8.09,21.0293,221.7851,0.1349,2738.4423,1.6661
471,002783,凯龙股份,5.29,11.24,37.1692,71.4858,0.3425,635.8195,3.0469
472,002186,全聚德,5.29,8.89,62.5349,76.8001,0.2489,863.5572,2.7995
473,002427,尤夫股份,5.29,6.2,26.5471,122.8359,0.3085,1980.263,4.9736
474,002408,齐翔腾达,5.28,6.87,13.9812,323.2564,0.182,4699.2071,2.6471
475,601069,西部黄金,5.28,15.67,36.3158,92.6124,0.1456,591.006,0.9292
476,600711,盛屯矿业,5.28,2.97,7.1254,221.9636,0.1482,7456.1857,4.9805
477,300441,鲍斯股份,5.26,15.14,38.1473,73.2741,0.1991,483.842,1.3149
478,002224,三力士,5.26,20.46,39.4053,85.0198,0.1291,415.3633,0.6311
479,002241,歌尔股份,5.25,7.2,22.1391,718.8422,0.2215,9973.9375,3.0735
480,002277,友阿股份,5.24,7.18,20.1746,268.5354,0.1895,3736.188,2.6374
481,300545,联得装备,5.23,12.66,34.0075,26.373,0.3659,208.1544,2.8883
482,002756,永兴特钢,5.22,8.51,13.9086,166.5745,0.4627,1957.0662,5.4362
483,600622,嘉宝集团,5.22,22.95,49.737,271.1877,0.3972,1181.6255,1.731
484,002870,香山股份,5.22,9.42,32.898,40.5256,0.3661,430.0131,3.8855
485,300179,四方达,5.22,27.46,49.0563,40.9305,0.0857,149.0048,0.3121
486,603318,派思股份,5.22,10.45,40.5046,25.8181,0.0706,247.0028,0.6762
487,000983,西山煤电,5.21,6.72,35.6757,917.3725,0.2911,13632.8527,4.3262
488,002139,拓邦股份,5.2,7.81,24.3955,93.9515,0.1381,1202.5182,1.7678
489,002449,国星光电,5.2,9.62,21.5772,153.7032,0.323,1597.1892,3.3571
490,603168,莎普爱思,5.19,19.95,73.6615,83.1964,0.3352,416.8521,1.6798
491,600173,卧龙地产,5.16,11.97,40.5295,89.2619,0.123,745.4878,1.028
492,601588,北辰实业,5.15,7.93,28.9715,623.0692,0.185,7852.7467,2.3322
493,600105,永鼎股份,5.15,14.63,19.0391,132.333,0.14,904.2702,0.9569
494,603939,益丰药房,5.14,6.91,39.8194,154.7984,0.4268,2238.6012,6.1721
495,600293,三峡新材,5.13,3.01,7.6275,181.8119,0.1564,6028.7541,5.1876
496,603101,汇嘉时代,5.13,4.49,16.9251,64.4983,0.2687,1434.1353,5.9755
497,002557,洽洽食品,5.13,9.28,30.3566,148.5165,0.2929,1600.1442,3.1561
498,002795,永和智控,5.11,11.62,28.0543,30.1392,0.1506,259.1907,1.2959
