,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
735,2750,龙津药业,中成药,云南,78.54,2.25,4.0,77228.07,46550.96,23543.25,11.27,0.0,0.035,1.71,6.4,20150324,24136.18,0.6,33.23,-12.88,86.57,23.47,26732
736,2181,粤 传 媒,出版业,广东,0.0,11.41,11.61,460135.75,248177.8,56948.31,127783.57,1.1,-0.026,3.23,1.7,20071116,101689.17,0.88,-17.53,40.47,21.22,-15.49,53524
737,810,创维数字,家用电器,四川,93.3,4.08,10.35,655735.38,545845.44,65867.0,24339.82,0.24,0.03,2.6,4.27,19980602,142061.38,1.37,-0.92,-79.22,13.75,1.87,38788
738,300136,信维通信,通信设备,深圳,46.94,7.24,9.83,347657.31,231675.52,38559.34,36088.73,0.37,0.22,2.17,17.96,20101105,94676.36,0.96,102.1,179.58,29.69,28.43,22846
739,2508,老板电器,家用电器,浙江,31.07,9.3,9.49,739377.13,614173.81,84142.25,39570.7,0.42,0.63,4.63,8.45,20101123,264934.16,2.79,26.63,41.37,57.31,18.69,32060
740,543,皖能电力,火力发电,安徽,0.0,17.9,17.9,2687349.25,262258.63,1217365.38,199796.52,1.12,-0.022,6.16,0.91,19931220,303805.72,1.7,11.14,-111.55,1.03,-1.54,73593
741,600657,信达地产,全国地产,北京,0.0,15.24,15.24,6861050.5,6163600.5,28614.63,153906.94,1.01,-0.088,5.83,0.97,19930524,582097.13,3.82,-45.47,10.32,13.15,-18.98,58115
742,797,中国武夷,全国地产,福建,45.17,8.56,10.0,1139538.75,1066251.0,27459.38,84868.74,0.85,0.063,2.3,4.91,19970715,84238.57,0.84,40.83,277.93,32.69,11.32,28221
743,600021,上海电力,火力发电,上海,84.37,21.4,21.4,5646382.5,803227.38,3038467.5,396693.84,1.85,0.034,4.82,2.4,20031029,369082.34,1.72,6.33,-78.04,13.93,1.64,146866
744,2810,山东赫达,化工原料,山东,49.45,0.24,0.96,111192.85,54894.43,34169.53,19093.64,2.0,0.294,6.85,4.24,20160826,31503.05,3.3,13.0,15.82,23.01,8.97,14744
745,886,海南高速,路桥,海南,26.13,9.65,9.89,321716.72,213897.34,12068.05,94393.02,0.95,0.056,2.67,2.19,19980123,33524.15,0.34,295.17,253.32,40.31,27.56,80664
746,603179,新泉股份,汽车配件,江苏,30.76,0.4,1.59,248652.77,180095.55,45551.84,67492.93,4.23,0.76,7.49,5.61,20170317,33912.26,2.13,0.0,0.0,23.74,6.89,14099
747,600419,天润乳业,乳制品,新疆,53.0,0.89,1.04,121694.07,34421.3,47203.4,60678.4,5.86,0.228,7.35,6.57,20010628,3462.0,0.33,28.55,22.53,29.44,9.7,6834
748,2385,大北农,饲料,北京,24.27,23.07,41.01,1572733.88,732703.38,375146.63,91831.75,0.22,0.128,2.29,2.72,20100409,402093.0,0.98,13.51,42.56,24.96,6.26,123901
749,601328,交通银行,银行,上海,6.0,392.51,742.63,873371008.0,0.0,11000000.0,11339200.0,1.53,0.26,7.93,0.79,20070515,11989700.0,1.61,-2.05,1.35,0.0,35.21,374957
750,603336,宏辉果蔬,农业综合,广东,44.39,0.33,1.33,79212.68,62982.36,11970.96,28924.35,2.17,0.142,5.7,4.42,20161124,32093.5,2.41,0.0,0.0,18.06,11.86,18854
751,600590,泰豪科技,电气设备,江西,88.36,5.24,6.67,829211.56,518754.25,71595.88,247073.02,3.7,0.037,5.75,2.26,20020703,60504.76,0.91,14.89,38.91,22.47,3.86,31455
752,2376,新北洋,电脑设备,山东,32.61,5.71,6.31,391520.47,192132.66,89125.13,65412.73,1.04,0.1,3.93,3.33,20100323,98236.65,1.56,21.48,100.11,46.89,17.63,34056
753,2128,露天煤业,煤炭开采,内蒙,10.18,15.88,16.34,1508394.0,607495.0,685378.69,125121.07,0.77,0.643,6.25,2.1,20070418,634583.0,3.88,64.89,201.99,46.52,26.4,44970
754,600987,航民股份,纺织,浙江,17.17,6.35,6.35,435703.06,243102.2,156522.0,10384.82,0.16,0.383,5.07,2.59,20040809,223600.0,3.52,1.95,2.8,29.91,15.05,20736
755,2662,京威股份,汽车配件,北京,28.79,12.28,15.0,978718.88,352702.59,169458.88,134147.31,0.89,0.17,3.12,2.11,20120309,157206.06,1.05,18.41,-14.3,27.93,6.51,24176
756,601952,苏垦农发,种植业,江苏,26.22,2.6,10.6,627856.81,482325.59,121447.51,231411.91,2.18,0.32,4.63,2.85,20170515,136152.09,1.28,0.0,0.0,20.74,14.49,118237
757,921,海信科龙,家用电器,广东,13.73,9.02,13.63,2142861.25,1490140.25,334551.13,209286.19,1.54,0.493,3.76,3.6,19990713,134719.56,0.99,34.16,20.17,18.51,3.82,29414
758,300196,长海股份,玻璃,江苏,24.59,1.31,2.12,305402.38,168655.31,108292.77,118497.63,5.58,0.283,10.98,2.53,20110329,85079.5,4.01,5.16,23.79,28.4,14.66,8396
759,2850,科达利,机械基件,深圳,57.74,0.35,1.4,305929.94,199243.69,58860.26,141615.22,10.12,0.676,15.56,5.02,20170302,57829.46,4.13,0.0,0.0,27.33,12.68,25071
760,2439,启明星辰,软件服务,北京,0.0,5.75,8.97,363750.22,181224.17,21093.48,95905.3,1.07,0.0,2.99,7.14,20100623,78755.0,0.88,20.57,-102.76,67.99,-0.02,59773
761,2677,浙江美大,家用电器,浙江,48.65,2.8,6.46,138616.2,97326.07,33967.15,7990.72,0.12,0.154,1.65,9.08,20120525,29265.9,0.45,55.97,51.04,53.87,26.59,17176
762,600094,大名城,区域地产,上海,16.71,18.13,24.75,5522022.0,4624679.5,42744.98,585401.63,2.36,0.112,4.36,1.72,19970703,222474.59,0.9,-46.99,90.12,32.53,31.94,76172
763,603566,普莱柯,生物制药,河南,59.82,1.62,3.24,172724.06,106955.07,25678.31,46979.6,1.45,0.191,4.6,4.98,20150518,65068.16,2.01,3.41,-31.33,70.34,23.98,11339
764,603708,家家悦,超市连锁,山东,19.78,1.17,4.68,604779.5,458144.19,110168.65,141133.13,3.02,0.197,5.18,3.01,20161213,54967.95,1.17,0.0,0.0,21.18,3.04,44446
765,600280,中央商场,百货,江苏,18.61,11.48,11.48,1635255.5,1276921.75,258095.8,1277.0,0.01,0.211,1.69,4.65,20000926,30861.11,0.27,40.16,226.51,24.01,5.47,64638
766,300013,新宁物流,仓储物流,江苏,97.29,2.31,2.98,202424.02,94476.5,18757.89,90345.22,3.03,0.041,4.48,3.52,20091030,3092.5,0.1,-13.61,105.65,39.24,7.01,22903
767,2563,森马服饰,服饰,浙江,21.71,18.39,26.94,1233919.88,832019.44,116680.01,254421.27,0.94,0.094,3.8,2.14,20110311,416802.03,1.55,7.47,3.16,42.09,12.2,34466
768,600016,民生银行,银行,北京,5.27,295.52,364.85,595660672.0,0.0,4349700.0,6474400.0,1.77,0.389,9.51,0.86,20001219,14481101.0,3.97,-9.73,3.6,0.0,39.19,375515
769,2438,江苏神通,机械基件,江苏,78.08,2.76,4.86,238404.42,163129.11,47254.23,81485.18,1.68,0.053,3.47,2.4,20100623,34045.09,0.7,9.94,6.18,35.35,8.05,25403
770,668,荣丰控股,区域地产,上海,0.0,1.47,1.47,178855.52,172447.81,404.7,8046.56,0.55,-0.07,4.05,4.43,19961210,25512.46,1.74,-0.07,-57.02,43.16,-987.49,7872
771,2381,双箭股份,橡胶,浙江,101.91,2.17,4.29,250320.2,174379.31,50384.53,66297.77,1.55,0.022,3.81,2.37,20100402,45181.48,1.05,30.84,-37.9,20.44,3.41,32574
772,300326,凯利泰,医疗保健,上海,42.12,6.4,7.15,245554.67,92819.15,29684.77,69780.03,0.98,0.054,2.63,3.43,20120613,43540.17,0.61,39.46,52.32,65.25,24.68,24917
773,300640,德艺文创,文教休闲,福建,52.46,0.2,0.8,17969.93,13933.67,1821.92,875.69,0.11,0.17,2.1,12.94,20170417,3997.2,0.5,0.0,0.0,23.25,9.69,11800
774,300445,康斯特,电器仪表,北京,81.94,0.41,1.66,48316.95,35540.07,10152.21,6171.51,0.37,0.111,2.56,7.13,20150424,20329.2,1.23,19.31,36.7,72.61,22.26,11250
775,300648,星云股份,电器仪表,福建,195.35,0.17,0.68,35896.73,25502.99,6790.08,7565.16,1.12,0.083,4.44,14.66,20170425,8841.1,1.31,0.0,0.0,52.13,14.36,11136
776,600682,南京新百,百货,江苏,0.0,7.26,11.12,2300434.0,843273.5,320791.38,394725.69,3.55,-0.06,6.05,6.43,19931018,108761.51,0.98,0.36,63.57,35.21,-1.85,14255
777,300592,华凯创意,软件服务,湖南,0.0,0.31,1.22,81328.5,72294.27,5853.87,16976.25,1.39,0.0,3.75,5.23,20170120,16301.45,1.33,0.0,0.0,26.97,-0.06,13566
778,505,珠江控股,房产服务,海南,78.79,3.6,4.27,109095.9,67870.0,21678.55,54361.53,1.27,0.032,0.18,54.99,19921221,-100100.25,-2.35,213.28,135.69,26.34,5.49,31930
